start date,end date,subject,all day event
05/12/2018,06/12/2018,Half Day,True
06/12/2018,07/12/2018,Stnd Day,True
07/12/2018,08/12/2018,Stnd Day,True
10/12/2018,11/12/2018,Stnd Day,True
11/12/2018,12/12/2018,Stnd Day,True
12/12/2018,13/12/2018,Long Day,True
13/12/2018,14/12/2018,Half Day,True
14/12/2018,15/12/2018,Stnd Day,True
18/12/2018,19/12/2018,Stnd Day,True
19/12/2018,20/12/2018,Stnd Day,True
20/12/2018,21/12/2018,Stnd Day,True
21/12/2018,22/12/2018,Long Day,True
22/12/2018,23/12/2018,Long Day,True
23/12/2018,24/12/2018,Long Day,True
25/12/2018,26/12/2018,Stnd Day,True
26/12/2018,27/12/2018,Stnd Day,True
27/12/2018,28/12/2018,Stnd Day,True
28/12/2018,29/12/2018,Stnd Day,True
31/12/2018,01/01/2019,Long Day,True
01/01/2019,02/01/2019,Half Day,True
02/01/2019,03/01/2019,Stnd Day,True
03/01/2019,04/01/2019,Stnd Day,True
04/01/2019,05/01/2019,Stnd Day,True
07/01/2019,08/01/2019,Stnd Day,True
08/01/2019,09/01/2019,Long Day,True
09/01/2019,10/01/2019,Half Day,True
10/01/2019,11/01/2019,Stnd Day,True
11/01/2019,12/01/2019,Stnd Day,True
14/01/2019,15/01/2019,Stnd Day,True
15/01/2019,16/01/2019,Stnd Day,True
16/01/2019,17/01/2019,Long Day,True
17/01/2019,18/01/2019,Half Day,True
18/01/2019,19/01/2019,Stnd Day,True
22/01/2019,23/01/2019,Stnd Day,True
23/01/2019,24/01/2019,Stnd Day,True
24/01/2019,25/01/2019,Stnd Day,True
25/01/2019,26/01/2019,Long Day,True
26/01/2019,27/01/2019,Long Day,True
27/01/2019,28/01/2019,Long Day,True
29/01/2019,30/01/2019,Stnd Day,True
30/01/2019,31/01/2019,Stnd Day,True
31/01/2019,01/02/2019,Stnd Day,True
01/02/2019,02/02/2019,Stnd Day,True
04/02/2019,05/02/2019,Long Day,True
05/02/2019,06/02/2019,Half Day,True
06/02/2019,07/02/2019,Stnd Day,True
07/02/2019,08/02/2019,Stnd Day,True
08/02/2019,09/02/2019,Stnd Day,True
11/02/2019,12/02/2019,Stnd Day,True
12/02/2019,13/02/2019,Long Day,True
13/02/2019,14/02/2019,Half Day,True
14/02/2019,15/02/2019,Stnd Day,True
15/02/2019,16/02/2019,Stnd Day,True
18/02/2019,19/02/2019,Stnd Day,True
19/02/2019,20/02/2019,Stnd Day,True
20/02/2019,21/02/2019,Long Day,True
21/02/2019,22/02/2019,Half Day,True
22/02/2019,23/02/2019,Stnd Day,True
26/02/2019,27/02/2019,Stnd Day,True
27/02/2019,28/02/2019,Stnd Day,True
28/02/2019,01/03/2019,Stnd Day,True
01/03/2019,02/03/2019,Long Day,True
02/03/2019,03/03/2019,Long Day,True
03/03/2019,04/03/2019,Long Day,True
05/03/2019,06/03/2019,Stnd Day,True
06/03/2019,07/03/2019,Stnd Day,True
07/03/2019,08/03/2019,Stnd Day,True
08/03/2019,09/03/2019,Stnd Day,True
11/03/2019,12/03/2019,Long Day,True
12/03/2019,13/03/2019,Half Day,True
13/03/2019,14/03/2019,Stnd Day,True
14/03/2019,15/03/2019,Stnd Day,True
15/03/2019,16/03/2019,Stnd Day,True
18/03/2019,19/03/2019,Stnd Day,True
19/03/2019,20/03/2019,Long Day,True
20/03/2019,21/03/2019,Half Day,True
21/03/2019,22/03/2019,Stnd Day,True
22/03/2019,23/03/2019,Stnd Day,True
25/03/2019,26/03/2019,Stnd Day,True
26/03/2019,27/03/2019,Stnd Day,True
27/03/2019,28/03/2019,Long Day,True
28/03/2019,29/03/2019,Half Day,True
29/03/2019,30/03/2019,Stnd Day,True
02/04/2019,03/04/2019,Stnd Day,True
03/04/2019,04/04/2019,Stnd Day,True
04/04/2019,05/04/2019,Stnd Day,True
